PlatformGenre,Continent,SumSales
PCSports,North America,0.38
PCSports,Europe,10.16
PCSports,Asia,0
2600Adventure,North America,1.59
2600Adventure,Europe,0.1
2600Adventure,Asia,0
2600Fighting,North America,1.16
2600Fighting,Europe,0.07
2600Fighting,Asia,0
2600Action,North America,27.39
2600Action,Europe,1.64
2600Action,Asia,0
2600Simulation,North America,0.42
2600Simulation,Europe,0.02
2600Simulation,Asia,0
2600Shooter,North America,24.68
2600Shooter,Europe,1.51
2600Shooter,Asia,0
2600Misc,North America,3.34
2600Misc,Europe,0.2
2600Misc,Asia,0
2600Puzzle,North America,13.68
2600Puzzle,Europe,0.86
2600Puzzle,Asia,0
2600Racing,North America,2.74
2600Racing,Europe,0.16
2600Racing,Asia,0
2600Platform,North America,12.38
2600Platform,Europe,0.72
2600Platform,Asia,0
2600Sports,North America,3.22
2600Sports,Europe,0.19
2600Sports,Asia,0
PSPStrategy,North America,2.67
PSPStrategy,Europe,2.15
PSPStrategy,Asia,4.47
PSPAdventure,North America,1.7
PSPAdventure,Europe,0.89
PSPAdventure,Asia,7.5
PSPFighting,North America,8.65
PSPFighting,Europe,4.4
PSPFighting,Asia,5.75
PSPAction,North America,23.87
PSPAction,Europe,17.15
PSPAction,Asia,12.15
PSPSimulation,North America,1.9
PSPSimulation,Europe,2.05
PSPSimulation,Asia,1.06
PSPShooter,North America,10.26
PSPShooter,Europe,5.29
PSPShooter,Asia,0.45
PSPMisc,North America,5.3
PSPMisc,Europe,1.38
PSPMisc,Asia,6.08
PSPPuzzle,North America,2.85
PSPPuzzle,Europe,1.24
PSPPuzzle,Asia,0.53
PSPRole-Playing,North America,11.46
PSPRole-Playing,Europe,3.64
PSPRole-Playing,Asia,30.82
PSPRacing,North America,14.98
PSPRacing,Europe,11.55
PSPRacing,Asia,0.96
PSPPlatform,North America,7.99
PSPPlatform,Europe,5.26
PSPPlatform,Asia,0.65
PSPSports,North America,17.54
PSPSports,Europe,11.68
PSPSports,Asia,6.36
XOneStrategy,North America,0.27
XOneStrategy,Europe,0.11
XOneStrategy,Asia,0
XOneAdventure,North America,1.27
XOneAdventure,Europe,1.17
XOneAdventure,Asia,0.03
XOneFighting,North America,1.65
XOneFighting,Europe,0.54
XOneFighting,Asia,0.01
XOneAction,North America,21.37
XOneAction,Europe,12.58
XOneAction,Asia,0.05
XOneSimulation,North America,0.32
XOneSimulation,Europe,0.31
XOneSimulation,Asia,0
XOneShooter,North America,36.86
XOneShooter,Europe,17.8
XOneShooter,Asia,0.16
XOneMisc,North America,4.77
XOneMisc,Europe,2
XOneMisc,Asia,0.01
XOneRole-Playing,North America,6.15
XOneRole-Playing,Europe,3.43
XOneRole-Playing,Asia,0.01
XOneRacing,North America,4.36
XOneRacing,Europe,4.58
XOneRacing,Asia,0.05
XOnePlatform,North America,0.51
XOnePlatform,Europe,0.34
XOnePlatform,Asia,0
XOneSports,North America,15.59
XOneSports,Europe,8.73
XOneSports,Asia,0.02
WiiUStrategy,North America,0.49
WiiUStrategy,Europe,0.36
WiiUStrategy,Asia,0.31
WiiUAdventure,North America,0.07
WiiUAdventure,Europe,0.08
WiiUAdventure,Asia,0
WiiUFighting,North America,3.28
WiiUFighting,Europe,1.49
WiiUFighting,Asia,1.01
WiiUAction,North America,9.69
WiiUAction,Europe,6.74
WiiUAction,Asia,1.09
WiiUSimulation,North America,0.14
WiiUSimulation,Europe,0.04
WiiUSimulation,Asia,0
WiiUShooter,North America,2.34
WiiUShooter,Europe,1.75
WiiUShooter,Asia,1.54
WiiUMisc,North America,5.5
WiiUMisc,Europe,3.69
WiiUMisc,Asia,2.45
WiiUPuzzle,North America,0.62
WiiUPuzzle,Europe,0.38
WiiUPuzzle,Asia,0.22
WiiURole-Playing,North America,1.06
WiiURole-Playing,Europe,0.77
WiiURole-Playing,Asia,0.89
WiiURacing,North America,3.47
WiiURacing,Europe,2.53
WiiURacing,Asia,1.3
WiiUPlatform,North America,9.94
WiiUPlatform,Europe,6.38
WiiUPlatform,Asia,3.68
WiiUSports,North America,1.5
WiiUSports,Europe,0.92
WiiUSports,Asia,0.52
GCStrategy,North America,2.23
GCStrategy,Europe,0.62
GCStrategy,Asia,1.33
GCAdventure,North America,3.82
GCAdventure,Europe,1.26
GCAdventure,Asia,0.67
GCFighting,North America,11.29
GCFighting,Europe,2.91
GCFighting,Asia,3.69
GCAction,North America,26.11
GCAction,Europe,7.77
GCAction,Asia,2.83
GCSimulation,North America,5.37
GCSimulation,Europe,1.74
GCSimulation,Asia,1.21
GCShooter,North America,10.01
GCShooter,Europe,2.9
GCShooter,Asia,0.37
GCMisc,North America,10.07
GCMisc,Europe,2.62
GCMisc,Asia,3.58
GCPuzzle,North America,2.95
GCPuzzle,Europe,0.89
GCPuzzle,Asia,0.73
GCRole-Playing,North America,7.91
GCRole-Playing,Europe,2.44
GCRole-Playing,Asia,2.47
GCRacing,North America,14.93
GCRacing,Europe,4.83
GCRacing,Asia,1.57
GCPlatform,North America,20.4
GCPlatform,Europe,5.95
GCPlatform,Asia,1.5
GCSports,North America,18.37
GCSports,Europe,4.78
GCSports,Asia,1.63
GENStrategy,North America,0
GENStrategy,Europe,0
GENStrategy,Asia,0.19
GENAdventure,North America,0
GENAdventure,Europe,0
GENAdventure,Asia,0.19
GENFighting,North America,3.98
GENFighting,Europe,1.2
GENFighting,Asia,0.54
GENAction,North America,1.86
GENAction,Europe,0.55
GENAction,Asia,0.25
GENShooter,North America,0
GENShooter,Europe,0
GENShooter,Asia,0.13
GENMisc,North America,0
GENMisc,Europe,0
GENMisc,Asia,0.03
GENRole-Playing,North America,0
GENRole-Playing,Europe,0
GENRole-Playing,Asia,0.27
GENRacing,North America,0
GENRacing,Europe,0
GENRacing,Asia,0.26
GENPlatform,North America,10.73
GENPlatform,Europe,3.38
